Query,p@3,p@5,p@10,p@15,p@Mx,Doc Count,Recall,F-measure,Search Engine
old coins ,1,1,0.7,0.73333333333333,0.26,100,0.26,0.26,Google
old coins ,1,1,1,0.8,0.44,100,0.44,0.44,Aggregated
quit smoking ,1,1,1,1,0.41,100,0.41,0.41,Bing
quit smoking ,0.66666666666667,0.8,0.6,0.73333333333333,0.27551020408163,98,0.27,0.27272727272727,Blekko
quit smoking ,0.66666666666667,0.6,0.7,0.73333333333333,0.38,100,0.38,0.38,Google
quit smoking ,1,1,1,1,0.53,100,0.53,0.53,Aggregated
kansas city mo ,1,1,1,1,0.5,86,0.43,0.46236559139785,Bing
kansas city mo ,1,0.6,0.5,0.6,0.17,100,0.17,0.17,Blekko
kansas city mo ,1,1,1,0.93333333333333,0.39,100,0.39,0.39,Google
kansas city mo ,1,1,1,0.93333333333333,0.62,100,0.62,0.62,Aggregated
civil right movement ,1,0.8,0.6,0.66666666666667,0.36458333333333,96,0.35,0.35714285714286,Bing
civil right movement ,0.33333333333333,0.4,0.3,0.26666666666667,0.29,100,0.29,0.29,Blekko
civil right movement ,1,1,1,0.86666666666667,0.35,100,0.35,0.35,Google
civil right movement ,1,1,1,1,0.59,100,0.59,0.59,Aggregated
credit report ,1,1,1,0.86666666666667,0.39795918367347,98,0.39,0.39393939393939,Bing
credit report ,0.33333333333333,0.4,0.6,0.66666666666667,0.19191919191919,99,0.19,0.19095477386935,Blekko
credit report ,1,1,0.8,0.8,0.24,100,0.24,0.24,Google
credit report ,1,1,1,1,0.49,100,0.49,0.49,Aggregated
unc ,1,1,0.7,0.73333333333333,0.37755102040816,98,0.37,0.37373737373737,Bing
unc ,1,0.6,0.4,0.46666666666667,0.16161616161616,99,0.16,0.1608040201005,Blekko
unc ,1,1,0.9,0.86666666666667,0.21,100,0.21,0.21,Google
unc ,1,1,1,0.93333333333333,0.44,100,0.44,0.44,Aggregated
vanuatu ,1,1,0.9,0.93333333333333,0.40816326530612,98,0.4,0.4040404040404,Bing
vanuatu ,0.66666666666667,0.8,0.7,0.66666666666667,0.33333333333333,99,0.33,0.33165829145729,Blekko
vanuatu ,1,1,0.9,0.86666666666667,0.42,100,0.42,0.42,Google
vanuatu ,1,1,0.8,0.86666666666667,0.63,100,0.63,0.63,Aggregated
internet phone service ,1,1,0.9,0.93333333333333,0.46938775510204,98,0.46,0.46464646464646,Bing
internet phone service ,0.66666666666667,0.8,0.6,0.46666666666667,0.16,100,0.16,0.16,Blekko
internet phone service ,1,1,0.9,0.93333333333333,0.38,100,0.38,0.38,Google
internet phone service ,1,1,1,1,0.51,100,0.51,0.51,Aggregated
gs pay rate ,0.66666666666667,0.6,0.7,0.6,0.22093023255814,86,0.19,0.20430107526882,Bing
gs pay rate ,0,0,0.2,0.13333333333333,0.15,100,0.15,0.15,Blekko
gs pay rate ,0.66666666666667,0.8,0.9,0.8,0.29411764705882,102,0.3,0.2970297029703,Google
gs pay rate ,1,0.8,0.7,0.66666666666667,0.37,100,0.37,0.37,Aggregated
brooks brothers clearance ,1,0.8,0.6,0.66666666666667,0.23913043478261,92,0.22,0.22916666666667,Bing
brooks brothers clearance ,0,0,0,0.066666666666667,0.1,100,0.1,0.1,Blekko
brooks brothers clearance ,1,0.8,0.8,0.66666666666667,0.25961538461538,104,0.27,0.26470588235294,Google
brooks brothers clearance ,1,0.8,0.8,0.8,0.37,100,0.37,0.37,Aggregated
churchill downs ,1,0.8,0.8,0.73333333333333,0.51136363636364,88,0.45,0.47872340425532,Bing
churchill downs ,0.66666666666667,0.6,0.6,0.53333333333333,0.17,100,0.17,0.17,Blekko
churchill downs ,1,1,1,1,0.32075471698113,106,0.34,0.33009708737864,Google
churchill downs ,1,1,1,1,0.52,100,0.52,0.52,Aggregated
condos in florida ,0.66666666666667,0.8,0.9,0.93333333333333,0.34,100,0.34,0.34,Bing
condos in florida ,0.33333333333333,0.4,0.3,0.33333333333333,0.12244897959184,98,0.12,0.12121212121212,Blekko
condos in florida ,0.66666666666667,0.8,0.7,0.66666666666667,0.26,100,0.26,0.26,Google
condos in florida ,1,1,1,0.86666666666667,0.46,100,0.46,0.46,Aggregated
dog clean up bags ,0.33333333333333,0.6,0.5,0.53333333333333,0.35869565217391,92,0.33,0.34375,Bing
dog clean up bags ,0,0.4,0.2,0.26666666666667,0.16,100,0.16,0.16,Blekko
dog clean up bags ,1,1,1,0.86666666666667,0.29,100,0.29,0.29,Google
dog clean up bags ,1,0.8,0.8,0.8,0.42,100,0.42,0.42,Aggregated
designer dog breeds ,1,1,0.8,0.8,0.31,100,0.31,0.31,Bing
designer dog breeds ,0.33333333333333,0.4,0.6,0.6,0.17171717171717,99,0.17,0.17085427135678,Blekko
designer dog breeds ,1,1,1,0.86666666666667,0.37,100,0.37,0.37,Google
designer dog breeds ,1,1,1,0.86666666666667,0.57,100,0.57,0.57,Aggregated
pressure washers ,1,1,0.8,0.8,0.40625,96,0.39,0.39795918367347,Bing
pressure washers ,1,0.6,0.7,0.66666666666667,0.22,100,0.22,0.22,Blekko
pressure washers ,0.33333333333333,0.6,0.6,0.46666666666667,0.23,100,0.23,0.23,Google
pressure washers ,1,1,1,1,0.42,100,0.42,0.42,Aggregated
sore throat ,1,1,1,0.93333333333333,0.41666666666667,96,0.4,0.40816326530612,Bing
sore throat ,0.33333333333333,0.4,0.4,0.4,0.19,100,0.19,0.19,Blekko
sore throat ,0.66666666666667,0.8,0.7,0.73333333333333,0.33,100,0.33,0.33,Google
sore throat ,0.66666666666667,0.8,0.9,0.93333333333333,0.51,100,0.51,0.51,Aggregated
idaho state flower ,1,1,0.9,0.8,0.5,80,0.4,0.44444444444444,Bing
idaho state flower ,0.66666666666667,0.4,0.3,0.26666666666667,0.31632653061224,98,0.31,0.31313131313131,Blekko
idaho state flower ,1,1,0.9,0.86666666666667,0.35,100,0.35,0.35,Google
idaho state flower ,1,1,0.9,0.8,0.54,100,0.54,0.54,Aggregated
indiana state fairgrounds ,0.66666666666667,0.8,0.8,0.86666666666667,0.3695652173913,92,0.34,0.35416666666667,Bing
indiana state fairgrounds ,0.66666666666667,0.6,0.5,0.46666666666667,0.17,100,0.17,0.17,Blekko
indiana state fairgrounds ,1,1,1,0.86666666666667,0.39,100,0.39,0.39,Google
indiana state fairgrounds ,1,1,1,0.93333333333333,0.52,100,0.52,0.52,Aggregated
fybromyalgia ,1,0.8,0.8,0.86666666666667,0.29591836734694,98,0.29,0.29292929292929,Bing
fybromyalgia ,0.66666666666667,0.6,0.3,0.2,0.23232323232323,99,0.23,0.23115577889447,Blekko
fybromyalgia ,1,0.8,0.5,0.4,0.22,100,0.22,0.22,Google
fybromyalgia ,1,1,0.9,0.8,0.4,100,0.4,0.4,Aggregated
ontario california airport ,1,1,0.9,0.86666666666667,0.42,100,0.42,0.42,Bing
ontario california airport ,0,0,0.1,0.066666666666667,0.17,100,0.17,0.17,Blekko
ontario california airport ,1,1,1,0.93333333333333,0.41,100,0.41,0.41,Google
ontario california airport ,1,1,1,1,0.57,100,0.57,0.57,Aggregated
